Nr,Real,Sensor,Diff
1,2.00,83.00,-81.00
2,2.00,26.00,-24.00
3,2.00,37.00,-35.00
4,2.00,35.00,-33.00
5,2.00,33.00,-31.00
6,4.00,35.00,-31.00
7,4.00,56.00,-52.00
8,4.00,22.00,-18.00
9,4.00,79.00,-75.00
10,4.00,11.00,-7.00
11,9.00,42.00,-33.00
12,9.00,77.00,-68.00
13,9.00,60.00,-51.00
14,9.00,89.00,-80.00
15,9.00,33.00,-24.00
16,22.00,86.00,-64.00
17,2.00,70.00,-68.00
18,2.00,46.00,-44.00
19,2.00,62.00,-60.00
20,2.00,56.00,-54.00
21,3.00,81.00,-78.00
22,4.00,18.00,-14.00
23,9.00,97.00,-88.00
24,4.00,79.00,-75.00
25,4.00,72.00,-68.00
26,9.00,90.00,-81.00
27,4.00,72.00,-68.00
28,3.50,23.00,-19.50
29,2.20,47.00,-44.80
30,2.00,65.00,-63.00
31,2.00,69.00,-67.00
32,2.50,82.00,-79.50
33,2.50,82.00,-79.50
34,5.50,58.00,-52.50
35,2.00,69.00,-67.00
36,2.00,67.00,-65.00
