sep=;
Nr,Original,Gefiltert,Differenz
1;2323.00;2323.00;0.00
2;32.00;792.67;-760.67
3;23.00;229.02;-206.02
4;632.06;469.05;163.02
5;752.08;752.08;0.00
6;872.09;832.09;40.00
7;872.09;872.09;-0.00
8;872.09;872.09;-0.00
9;872.09;664.82;207.27
10;250.27;388.45;-138.18
11;43.00;105.42;-62.42
12;23.00;29.67;-6.67
13;23.00;27.08;-4.08
14;35.25;31.17;4.08
15;35.25;31.17;4.08
16;23.00;31.17;-8.17
17;35.25;30.08;5.17
18;32.00;30.08;1.92
19;23.00;26.00;-3.00
20;23.00;19.33;3.67
21;12.00;23.00;-11.00
22;34.00;19.33;14.67
23;12.00;29.67;-17.67
24;43.00;26.00;17.00
25;23.00;26.00;-3.00
26;12.00;24.10;-12.10
27;37.29;27.90;9.38
28;34.43;35.38;-0.95
29;34.43;30.62;3.81
30;23.00;30.48;-7.48
31;34.00;23.00;11.00
32;12.00;26.00;-14.00
33;32.00;18.67;13.33
34;12.00;18.67;-6.67
35;12.00;19.33;-7.33
36;34.00;29.67;4.33
37;43.00;36.33;6.67
38;32.00;732.00;-700.00
39;2121.00;728.33;1392.67
40;32.00;725.33;-693.33
41;23.00;375.67;-352.67
42;1072.00;372.67;699.33
43;23.00;379.33;-356.33
44;43.00;33.33;9.67
45;34.00;31.73;2.27
46;18.20;21.40;-3.20
47;12.00;16.13;-4.13
48;18.20;14.07;4.13
49;12.00;24.40;-12.40
50;43.00;26.00;17.00
51;23.00;26.00;-3.00
52;12.00;15.67;-3.67
53;12.00;12.33;-0.33
54;13.00;12.33;0.67
55;12.00;16.00;-4.00
56;23.00;23.00;0.00
57;34.00;23.37;10.63
58;13.10;20.07;-6.97
59;13.10;13.10;-0.00
60;13.10;26.73;-13.63
61;54.00;33.37;20.63
62;33.00;35.33;-2.33
63;19.00;21.33;-2.33
64;12.00;21.33;-9.33
65;33.00;22.33;10.67
66;22.00;26.00;-4.00
67;23.00;29.33;-6.33
68;43.00;32.67;10.33
69;32.00;35.67;-3.67
70;32.00;28.33;3.67
71;21.00;29.00;-8.00
72;34.00;32.33;1.67
73;42.00;38.17;3.83
74;38.50;39.67;-1.17
75;38.50;40.67;-2.17
76;45.00;35.50;9.50
77;23.00;37.67;-14.67
78;45.00;26.67;18.33
79;12.00;26.67;-14.67
80;23.00;15.67;7.33
81;12.00;29.67;-17.67
82;54.00;29.67;24.33
83;23.00;29.67;-6.67
84;12.00;19.33;-7.33
85;23.00;19.33;3.67
86;23.00;23.00;0.00
87;23.00;26.00;-3.00
88;32.00;26.00;6.00
89;23.00;26.00;-3.00
90;23.00;23.00;0.00
91;23.00;23.00;0.00
92;23.00;23.00;0.00
93;23.00;23.00;0.00
94;23.00;23.00;0.00
95;23.00;23.00;0.00
96;23.00;22.33;0.67
97;21.00;22.33;-1.33
98;23.00;29.00;-6.00
99;43.00;29.67;13.33
100;23.00;23.00;0.00
